loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 4 be:4d:c4:f8:35:27 33:33:00:00:00:16 7
packet in 1 be:4d:c4:f8:35:27 33:33:00:00:00:16 3
packet in 1 82:c0:e0:99:27:2d 33:33:ff:99:27:2d 1
packet in 3 be:4d:c4:f8:35:27 33:33:00:00:00:16 3
packet in 2 be:4d:c4:f8:35:27 33:33:00:00:00:16 3
packet in 4 82:c0:e0:99:27:2d 33:33:ff:99:27:2d 4
packet in 3 82:c0:e0:99:27:2d 33:33:ff:99:27:2d 3
packet in 5 82:c0:e0:99:27:2d 33:33:ff:99:27:2d 2
packet in 2 82:c0:e0:99:27:2d 33:33:ff:99:27:2d 3
packet in 3 72:f3:c0:f7:ca:1e 33:33:00:00:00:16 3
packet in 4 a6:4b:70:f7:a8:d5 33:33:ff:f7:a8:d5 4
packet in 3 a6:4b:70:f7:a8:d5 33:33:ff:f7:a8:d5 3
packet in 5 a6:4b:70:f7:a8:d5 33:33:ff:f7:a8:d5 2
packet in 2 a6:4b:70:f7:a8:d5 33:33:ff:f7:a8:d5 3
packet in 4 c2:93:09:a0:55:3d 33:33:00:00:00:16 1
packet in 4 c2:93:09:a0:55:3d 33:33:ff:a0:55:3d 1
packet in 1 c2:93:09:a0:55:3d 33:33:00:00:00:16 3
packet in 1 c2:93:09:a0:55:3d 33:33:ff:a0:55:3d 3
packet in 3 c2:93:09:a0:55:3d 33:33:00:00:00:16 3
packet in 3 c2:93:09:a0:55:3d 33:33:ff:a0:55:3d 3
packet in 5 c2:93:09:a0:55:3d 33:33:00:00:00:16 2
packet in 5 c2:93:09:a0:55:3d 33:33:ff:a0:55:3d 2
packet in 2 c2:93:09:a0:55:3d 33:33:00:00:00:16 3
packet in 2 c2:93:09:a0:55:3d 33:33:ff:a0:55:3d 3
packet in 2 72:d0:6d:a4:b0:84 33:33:00:00:00:16 3
packet in 3 7a:28:18:a5:01:3a 33:33:00:00:00:16 1
packet in 3 7a:28:18:a5:01:3a 33:33:ff:a5:01:3a 1
packet in 4 7a:28:18:a5:01:3a 33:33:00:00:00:16 6
packet in 4 7a:28:18:a5:01:3a 33:33:ff:a5:01:3a 6
packet in 1 7a:28:18:a5:01:3a 33:33:00:00:00:16 3
packet in 5 7a:28:18:a5:01:3a 33:33:00:00:00:16 2
packet in 5 7a:28:18:a5:01:3a 33:33:ff:a5:01:3a 2
packet in 1 7a:28:18:a5:01:3a 33:33:ff:a5:01:3a 3
packet in 2 7a:28:18:a5:01:3a 33:33:00:00:00:16 3
packet in 2 7a:28:18:a5:01:3a 33:33:ff:a5:01:3a 3
packet in 4 a6:4b:70:f7:a8:d5 33:33:00:00:00:16 4
packet in 4 3a:75:a9:85:78:97 33:33:00:00:00:16 3
